OLD_URL,NEW_LOCAL_PATH,CATEGORY,DESCRIPTION
# CLOUDINARY IMAGES (31 total)
https://res.cloudinary.com/drtatej7i/image/upload/t_d/v1743761823/DSCF1645_w7xsbk.jpg,/wp-content/themes/tempusbelgravia/images/treatments/hifu-treatment.webp,treatment,HIFU Skin Tightening
https://res.cloudinary.com/drtatej7i/image/upload/t_d/v1743754471/laser-epilation-and-cosmetology-in-beauty-salon-2025-03-17-16-59-36-utc_k0nglx.jpg,/wp-content/themes/tempusbelgravia/images/treatments/body-contouring.webp,treatment,Body Contouring
https://res.cloudinary.com/drtatej7i/image/upload/t_d/v1743754271/getty-images-LH8AWrWHjuA-unsplash_dqjuha.jpg,/wp-content/themes/tempusbelgravia/images/treatments/skin-boosters.webp,treatment,Injectable Skin Boosters
https://res.cloudinary.com/drtatej7i/image/upload/c_fill,g_center,h_600,w_400/v1743754273/getty-images-36aasMPPoVE-unsplash_lwakd8.jpg,/wp-content/themes/tempusbelgravia/images/treatments/facial-aesthetics-category.webp,category,Facial Aesthetics Category
https://res.cloudinary.com/drtatej7i/image/upload/c_fill,g_faces,h_600,w_400/v1743754471/laser-epilation-and-cosmetology-in-beauty-salon-2025-03-17-16-59-36-utc_k0nglx.jpg,/wp-content/themes/tempusbelgravia/images/treatments/body-contouring-category.webp,category,Body Contouring Category
https://res.cloudinary.com/drtatej7i/image/upload/c_fill,g_center,h_600,w_400/v1743754267/getty-images-cRJxe2xOUWg-unsplash_1_wzppep.jpg,/wp-content/themes/tempusbelgravia/images/treatments/laser-energy-category.webp,category,Laser & Energy Category
https://res.cloudinary.com/drtatej7i/image/upload/c_fill,g_faces,h_600,w_400/v1743754269/getty-images-QlxmgYd2emI-unsplash_a01khu.jpg,/wp-content/themes/tempusbelgravia/images/treatments/injectable-artistry-category.webp,category,Injectable Artistry Category
https://res.cloudinary.com/drtatej7i/image/upload/c_fill,g_center,h_600,w_400/v1743754277/getty-images-xf9a3aoRAGg-unsplash_1_znku6m.jpg,/wp-content/themes/tempusbelgravia/images/treatments/medical-dermatology-category.webp,category,Medical Dermatology Category
https://res.cloudinary.com/drtatej7i/image/upload/c_fill,g_center,h_600,w_400/v1743754737/Screenshot_2025-04-04_at_9.18.35_AM_edlusm.png,/wp-content/themes/tempusbelgravia/images/treatments/iv-nutrient-category.webp,category,IV Nutrient Therapy Category
https://res.cloudinary.com/drtatej7i/image/upload/c_fill,g_center,h_600,w_400/v1743755077/Screenshot_2025-04-04_at_9.24.26_AM_e5jpwl.png,/wp-content/themes/tempusbelgravia/images/treatments/longevity-science-category.webp,category,Longevity Science Category
https://res.cloudinary.com/drtatej7i/image/upload/c_fill,g_center,h_600,w_400/v1743754902/Screenshot_2025-04-04_at_9.21.33_AM_j5nnfb.png,/wp-content/themes/tempusbelgravia/images/treatments/surgical-expertise-category.webp,category,Surgical Expertise Category
https://res.cloudinary.com/drtatej7i/image/upload/t_d/v1743761798/DSCF1682_ebhg0a.jpg,/wp-content/themes/tempusbelgravia/images/journey/discovery-vision.webp,journey,Discovery & Vision
https://res.cloudinary.com/drtatej7i/image/upload/t_d/v1743761742/DSCF1691_m8aari.jpg,/wp-content/themes/tempusbelgravia/images/journey/holistic-insight.webp,journey,Holistic Insight
https://res.cloudinary.com/drtatej7i/image/upload/t_d/v1743756299/DSCF1758_trieqm.jpg,/wp-content/themes/tempusbelgravia/images/journey/harmonisation.webp,journey,Harmonisation
https://res.cloudinary.com/drtatej7i/image/upload/t_d/v1743762642/DSCF1572_urh5uk.jpg,/wp-content/themes/tempusbelgravia/images/journey/evolving-partnership.webp,journey,Evolving Partnership
https://res.cloudinary.com/drtatej7i/image/upload/v1743761283/Screenshot_2025-04-04_at_11.06.19_AM_dlqjzj.png,/wp-content/themes/tempusbelgravia/images/instagram/gallery-1.webp,instagram,Instagram Gallery 1
https://res.cloudinary.com/drtatej7i/image/upload/v1743761281/Screenshot_2025-04-04_at_11.07.03_AM_oqitvn.png,/wp-content/themes/tempusbelgravia/images/instagram/gallery-2.webp,instagram,Instagram Gallery 2
https://res.cloudinary.com/drtatej7i/image/upload/v1743761281/Screenshot_2025-04-04_at_11.06.55_AM_t3b1wz.png,/wp-content/themes/tempusbelgravia/images/instagram/gallery-3.webp,instagram,Instagram Gallery 3
https://res.cloudinary.com/drtatej7i/image/upload/v1743761281/Screenshot_2025-04-04_at_11.06.05_AM_akgzdv.png,/wp-content/themes/tempusbelgravia/images/instagram/gallery-4.webp,instagram,Instagram Gallery 4
https://res.cloudinary.com/drtatej7i/image/upload/v1743761281/Screenshot_2025-04-04_at_11.06.49_AM_brrbvr.png,/wp-content/themes/tempusbelgravia/images/instagram/gallery-5.webp,instagram,Instagram Gallery 5
https://res.cloudinary.com/drtatej7i/image/upload/v1743761280/Screenshot_2025-04-04_at_11.06.42_AM_sxn6iu.png,/wp-content/themes/tempusbelgravia/images/instagram/gallery-6.webp,instagram,Instagram Gallery 6
https://res.cloudinary.com/drtatej7i/image/upload/v1743752535/Before2_sjjugc.png,/wp-content/themes/tempusbelgravia/images/gallery/before/lips-before.webp,gallery,Lips Before
https://res.cloudinary.com/drtatej7i/image/upload/v1743752532/After2_lsdrmw.png,/wp-content/themes/tempusbelgravia/images/gallery/after/lips-after.webp,gallery,Lips After
https://res.cloudinary.com/drtatej7i/image/upload/v1743752535/Before1_aklops.png,/wp-content/themes/tempusbelgravia/images/gallery/before/wrinkle-before.webp,gallery,Wrinkle Before
https://res.cloudinary.com/drtatej7i/image/upload/v1743752533/After1_cnlq0m.png,/wp-content/themes/tempusbelgravia/images/gallery/after/wrinkle-after.webp,gallery,Wrinkle After
https://res.cloudinary.com/drtatej7i/image/upload/v1743752532/Before3_w1q592.png,/wp-content/themes/tempusbelgravia/images/gallery/before/jawline-before.webp,gallery,Jawline Before
https://res.cloudinary.com/drtatej7i/image/upload/v1743752531/After3_rghajk.png,/wp-content/themes/tempusbelgravia/images/gallery/after/jawline-after.webp,gallery,Jawline After
https://res.cloudinary.com/drtatej7i/image/upload/t_Banner/v1693401674/DermaplaSKIN2_gtrfxq.jpg,/wp-content/themes/tempusbelgravia/images/banners/dermapla-skin.webp,banner,Dermapla Skin Banner
